Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
abadía		1,43	1,22	2,33	1,21	1,21
abajo		1,55	1,3	1,35	1,4	1,25
abalanzar		1,6	2	1,56	1,9	1,7
abanderado		1,47	1,56	1,94	1,32	1,25
abandonado		4,3	3,33	1,03	2,83	1,77
abandonar		4,1	3,05	1,2	3,3	2,65
abandono		4,43	3,33	1,03	3,3	2,63
abanico		1	1	2,67	1	1
abarca		1,05	1,11	1,89	1,32	1,05
abarcar		1,55	1,4	1,65	1,2	1,1
abarque		1,24	1,06	1,59	1,13	1,2
abastecer		1,32	1,1	2,75	1,21	1,05
abastecimiento		1,65	1,35	2,55	1,25	1,3
abasto		1,42	1,5	1,56	1,38	1,38
abatimiento		3,47	2,58	1,2	2,21	2,22
abatir		3,17	2,86	1,24	2,66	1,31
abdicación		2,11	1,4	1,5	1,8	1,61
abdicar		1,85	1,5	2,74	1,7	1,6
abdomen		1,25	1,3	1,65	1,15	1,5
abdominal		1,05	1,1	2,05	1,7	1,25
abedul		1	1	2,07	1,07	1,08
abeja		1,47	3,53	1,47	1,97	2,07
abejas		1,17	3,47	1,37	2	2,2
abejorro		1,14	3,48	1,14	1,59	2,1
aberración		3,82	2,95	1,1	3,2	3,68
abertura		1,1	1,3	2,5	1,25	1,25
abeto		1	1	2,3	1	1,05
abierta		1,35	1,3	2,7	1,35	1,25
abierto		1,1	1,57	2,8	1,27	1,03
abismo		2,47	4,13	1,3	1,53	1,13
abnegación		2	1,94	1,44	1,69	1,31
abogacía		1,5	1,55	1,74	1,79	1,65
abogada		1,37	2,03	1,57	1,93	1,5
abogado		1,4	1,6	1,83	1,73	1,53
abogar		1,47	1,32	1,84	1,74	1,41
abolición		1,9	2,55	1,68	2,15	1,6
abolir		1,75	1,74	2,53	2,11	1,35
abolladura		2,15	2,21	1,05	2,35	1,72
abominable		2,75	2,44	1,22	2,47	2,5
abonar		1,75	1,25	2,45	1,8	1,55
abono		1,05	1,2	2,25	1,15	2,15
abordaje		1,5	1,74	1,53	1,85	1,11
abordar		1,4	1,2	1,6	1,6	1,35
abordo		1,4	1,55	1,63	1,32	1,35
aborigen		1,39	1,39	1,61	1,15	1,41
abortar		2,35	3,35	1,4	1,8	2
aborto		3,5	2,9	1,67	1,87	1,7
abra		1,17	1,08	1,56	1,14	1,06
abrasador		1,53	2,17	1,37	1,77	1,5
abrazar		2	1,63	4,73	1	1
abrazo		2,23	1,77	4,8	1,1	1,13
abrebotellas		1	1,2	2	1,15	1,15
abrelatas		1,05	1,2	1,26	1,4	1,35
abreviación		1,3	1,2	2,15	1,45	1
abreviar		1,15	1,3	2,5	1,2	1,25
abreviatura		1,35	1,1	2,15	1,25	1,4
abridor		1,05	1,25	2	1,1	1,1
abrigar		1,15	1,1	2,75	1,3	1,05
abrigo		1,53	1,07	2,5	1,03	1,13
abril		1,3	1,05	3,65	1,1	1,1
abrir		1	1,25	2,85	1,05	1,05
abroncar		2,71	2,95	1,05	3,71	1,67
abrumado		2,67	2,5	1,5	2,27	1,27
abrumadora		2,3	2	1,7	1,85	1,68
