Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra
ábaco;abac;1,2;1,2;1,45;1,29;1;NOUN
abad;abad;1,35;1,56;1,71;1,24;2,23;NOUN
abadesa;abades;1,64;1,4;1,36;1,69;1,33;VERB
abadía;abad;1,43;1,22;2,33;1,21;1,21;PROPN
abajo;abaj;1,55;1,3;1,35;1,4;1,25;ADV
abalanzar;abalanz;1,6;2;1,56;1,9;1,7;VERB
abanderado;abander;1,47;1,56;1,94;1,32;1,25;ADJ
abandonado;abandon;4,3;3,33;1,03;2,83;1,77;ADJ
abandonar;abandon;4,1;3,05;1,2;3,3;2,65;VERB
abandono;abandon;4,43;3,33;1,03;3,3;2,63;NOUN
abanico;aban;1;1;2,67;1;1;NOUN
abarca;abarc;1,05;1,11;1,89;1,32;1,05;PROPN
abarcar;abarc;1,55;1,4;1,65;1,2;1,1;VERB
abarque;abarqu;1,24;1,06;1,59;1,13;1,2;NOUN
abastecer;abastec;1,32;1,1;2,75;1,21;1,05;VERB
abastecimiento;abastec;1,65;1,35;2,55;1,25;1,3;NOUN
abasto;abast;1,42;1,5;1,56;1,38;1,38;ADJ
abatimiento;abat;3,47;2,58;1,2;2,21;2,22;NOUN
abatir;abat;3,17;2,86;1,24;2,66;1,31;VERB
abdicación;abdic;2,11;1,4;1,5;1,8;1,61;NOUN
abdicar;abdic;1,85;1,5;2,74;1,7;1,6;VERB
abdomen;abdom;1,25;1,3;1,65;1,15;1,5;VERB
abdominal;abdominal;1,05;1,1;2,05;1,7;1,25;ADJ
abedul;abedul;1;1;2,07;1,07;1,08;PROPN
abeja;abej;1,47;3,53;1,47;1,97;2,07;VERB
abejas;abej;1,17;3,47;1,37;2;2,2;NOUN
abejorro;abejorr;1,14;3,48;1,14;1,59;2,1;PROPN
aberración;aberr;3,82;2,95;1,1;3,2;3,68;NOUN
abertura;abertur;1,1;1,3;2,5;1,25;1,25;NOUN
abeto;abet;1;1;2,3;1;1,05;NOUN
abierta;abiert;1,35;1,3;2,7;1,35;1,25;ADJ
abierto;abiert;1,1;1,57;2,8;1,27;1,03;ADJ
abismo;abism;2,47;4,13;1,3;1,53;1,13;NOUN
abnegación;abneg;2;1,94;1,44;1,69;1,31;NOUN
abogacía;abogac;1,5;1,55;1,74;1,79;1,65;VERB
abogada;abog;1,37;2,03;1,57;1,93;1,5;NOUN
abogado;abog;1,4;1,6;1,83;1,73;1,53;NOUN
abogar;abog;1,47;1,32;1,84;1,74;1,41;VERB
abolición;abolicion;1,9;2,55;1,68;2,15;1,6;NOUN
abolir;abol;1,75;1,74;2,53;2,11;1,35;VERB
abolladura;abolladur;2,15;2,21;1,05;2,35;1,72;NOUN
abominable;abomin;2,75;2,44;1,22;2,47;2,5;ADJ
abonar;abon;1,75;1,25;2,45;1,8;1,55;VERB
abono;abon;1,05;1,2;2,25;1,15;2,15;NOUN
abordaje;abordaj;1,5;1,74;1,53;1,85;1,11;NOUN
abordar;abord;1,4;1,2;1,6;1,6;1,35;VERB
abordo;abord;1,4;1,55;1,63;1,32;1,35;PROPN
aborigen;aborig;1,39;1,39;1,61;1,15;1,41;ADJ
abortar;abort;2,35;3,35;1,4;1,8;2;VERB
aborto;abort;3,5;2,9;1,67;1,87;1,7;NOUN
abra;abra;1,17;1,08;1,56;1,14;1,06;VERB
abrasador;abras;1,53;2,17;1,37;1,77;1,5;NOUN
abrazar;abraz;2;1,63;4,73;1;1;VERB
abrazo;abraz;2,23;1,77;4,8;1,1;1,13;NOUN
abrebotellas;abrebotell;1;1,2;2;1,15;1,15;NOUN
abrelatas;abrelat;1,05;1,2;1,26;1,4;1,35;NOUN
abreviación;abrevi;1,3;1,2;2,15;1,45;1;NOUN
abreviar;abrevi;1,15;1,3;2,5;1,2;1,25;VERB
abreviatura;abreviatur;1,35;1,1;2,15;1,25;1,4;VERB
abridor;abridor;1,05;1,25;2;1,1;1,1;ADJ
abrigar;abrig;1,15;1,1;2,75;1,3;1,05;VERB
abrigo;abrig;1,53;1,07;2,5;1,03;1,13;NOUN
abril;abril;1,3;1,05;3,65;1,1;1,1;NOUN
abrir;abrir;1;1,25;2,85;1,05;1,05;VERB
abroncar;abronc;2,71;2,95;1,05;3,71;1,67;VERB
abrumado;abrum;2,67;2,5;1,5;2,27;1,27;ADJ
abrumadora;abrum;2,3;2;1,7;1,85;1,68;ADJ
abrupto;abrupt;1,6;1,89;1,11;2,18;1,59;ADJ
absenta;absent;1,21;1,68;2,32;1,79;2,5;VERB
absolución;absolu;1,47;1,37;1,63;1,68;1,45;NOUN
absolutismo;absolut;3,55;3,1;1,3;2,58;3,05;NOUN
absolutista;absolut;2,35;3,05;1,25;3,5;2,8;ADJ
absoluto;absolut;1,2;1,8;2,1;1,4;1,25;ADJ
absorbente;absorbent;2,65;1,9;1,7;1,74;1,95;ADV
absorber;absorb;1,45;1,6;1,8;1,9;1,85;VERB
absorción;absorcion;2;1,9;1,45;1,4;2,15;NOUN
absorto;absort;1,44;1,56;1,65;1,37;1,79;ADJ
abstención;abstencion;2;1,63;1,35;1,65;1,6;NOUN
abstener;absten;1,8;1,8;1,4;2,1;2,05;VERB
abstinencia;abstinent;2,25;1,9;1,35;2,3;2,1;NOUN
