Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;abac;1,2;1,45;1,2;1,29;1
abad;abad;1,35;1,71;1,56;1,24;2,23
abadesa;abades;1,64;1,36;1,4;1,69;1,33
abadía;abad;1,43;2,33;1,22;1,21;1,21
abajo;abaj;1,55;1,35;1,3;1,4;1,25
abalanzar;abalanz;1,6;1,56;2;1,9;1,7
abanderado;abander;1,47;1,94;1,56;1,32;1,25
abandonado;abandon;4,3;3,33;1,03;2,83;1,77
abandonar;abandon;4,1;1,2;3,05;3,3;2,65
abandono;abandon;4,43;3,33;1,03;3,3;2,63
abanico;aban;1;1;2,67;1;1
abarca;abarc;1,05;1,89;1,11;1,32;1,05
abarcar;abarc;1,55;1,65;1,4;1,2;1,1
abarque;abarqu;1,24;1,59;1,06;1,13;1,2
abastecer;abastec;1,32;2,75;1,1;1,21;1,05
abastecimiento;abastec;1,65;2,55;1,35;1,25;1,3
abasto;abast;1,42;1,56;1,5;1,38;1,38
abatimiento;abat;3,47;1,2;2,58;2,21;2,22
abatir;abat;3,17;2,86;1,24;2,66;1,31
abdicación;abdic;2,11;1,5;1,4;1,8;1,61
abdicar;abdic;1,85;2,74;1,5;1,7;1,6
abdomen;abdom;1,25;1,65;1,3;1,15;1,5
abdominal;abdominal;1,05;2,05;1,1;1,7;1,25
abedul;abedul;1;2,07;1;1,07;1,08
abeja;abej;1,47;3,53;1,47;1,97;2,07
abejas;abej;1,17;3,47;1,37;2;2,2
abejorro;abejorr;1,14;3,48;1,14;1,59;2,1
aberración;aberr;3,82;1,1;2,95;3,2;3,68
abertura;abertur;1,1;2,5;1,3;1,25;1,25
abeto;abet;1;2,3;1;1;1,05
abierta;abiert;1,35;2,7;1,3;1,35;1,25
abierto;abiert;1,1;1,57;2,8;1,27;1,03
abismo;abism;2,47;4,13;1,3;1,53;1,13
abnegación;abneg;2;1,94;1,44;1,69;1,31
abogacía;abogac;1,5;1,74;1,55;1,79;1,65
abogada;abog;1,37;2,03;1,57;1,93;1,5
abogado;abog;1,4;1,6;1,83;1,73;1,53
abogar;abog;1,47;1,84;1,32;1,74;1,41
abolición;abolicion;1,9;1,68;2,55;2,15;1,6
abolir;abol;1,75;2,53;1,74;2,11;1,35
abolladura;abolladur;2,15;1,05;2,21;2,35;1,72
abominable;abomin;2,75;1,22;2,44;2,47;2,5
abonar;abon;1,75;2,45;1,25;1,8;1,55
abono;abon;1,05;2,25;1,2;1,15;2,15
abordaje;abordaj;1,5;1,53;1,74;1,85;1,11
abordar;abord;1,4;1,6;1,2;1,6;1,35
abordo;abord;1,4;1,63;1,55;1,32;1,35
aborigen;aborig;1,39;1,61;1,39;1,15;1,41
abortar;abort;2,35;1,4;3,35;1,8;2
aborto;abort;3,5;2,9;1,67;1,87;1,7
abra;abra;1,17;1,56;1,08;1,14;1,06
abrasador;abras;1,53;2,17;1,37;1,77;1,5
abrazar;abraz;2;1,63;4,73;1;1
abrazo;abraz;2,23;1,77;4,8;1,1;1,13
abrebotellas;abrebotell;1;2;1,2;1,15;1,15
abrelatas;abrelat;1,05;1,26;1,2;1,4;1,35
abreviación;abrevi;1,3;2,15;1,2;1,45;1
abreviar;abrevi;1,15;2,5;1,3;1,2;1,25
abreviatura;abreviatur;1,35;2,15;1,1;1,25;1,4
abridor;abridor;1,05;2;1,25;1,1;1,1
abrigar;abrig;1,15;2,75;1,1;1,3;1,05
abrigo;abrig;1,53;1,07;2,5;1,03;1,13
abril;abril;1,3;3,65;1,05;1,1;1,1
abrir;abrir;1;2,85;1,25;1,05;1,05
abroncar;abronc;2,71;2,95;1,05;3,71;1,67
abrumado;abrum;2,67;2,5;1,5;2,27;1,27
abrumadora;abrum;2,3;1,7;2;1,85;1,68
abrupto;abrupt;1,6;1,11;1,89;2,18;1,59
absenta;absent;1,21;2,32;1,68;1,79;2,5
absolución;absolu;1,47;1,63;1,37;1,68;1,45
absolutismo;absolut;3,55;1,3;3,1;2,58;3,05
absolutista;absolut;2,35;1,25;3,05;3,5;2,8
absoluto;absolut;1,2;2,1;1,8;1,4;1,25
absorbente;absorbent;2,65;1,7;1,9;1,74;1,95
absorber;absorb;1,45;1,8;1,6;1,9;1,85
absorción;absorcion;2;1,45;1,9;1,4;2,15
absorto;absort;1,44;1,65;1,56;1,37;1,79
abstención;abstencion;2;1,35;1,63;1,65;1,6
abstener;absten;1,8;1,4;1,8;2,1;2,05
abstinencia;abstinent;2,25;1,35;1,9;2,3;2,1
abstinente;abstinent;1,89;1,7;1,48;1,67;1,48
abstracción;abstraccion;1,55;1,95;1,35;1,55;1,4
abstracto;abstract;1,15;2,85;1,6;1,2;1,3
absurdo;absurd;1,83;1,57;1,63;2,17;1,23
abuela;abuel;2,3;1,67;4,33;1,13;1,1
abuelo;abuel;2,6;1,2;4,6;1,07;1,1
abundancia;abund;1,37;1,73;3,67;1,2;1,2
abundante;abund;1,3;3;1,3;1,5;1,4
abundar;abund;1,25;2,85;1,25;1,45;1,33
aburrido;aburr;2,9;1,17;1,03;1,4;1,33
aburrimiento;aburr;3,05;1,1;1,95;2,05;2,35
aburrir;aburr;2,45;1,05;1,8;2,65;2
abusar;abus;4,2;1,1;3,5;4,2;3,85
abusivo;abus;3,5;1;3,35;4,05;3,45
abuso;abus;4,2;4,07;1,17;4,37;4,03
acabar;acab;2,85;2,16;2,2;1,35;1,15
academia;academi;1,5;1,6;1,3;1,45;1,4
académico;academ;1,45;2,25;1,55;1,45;1,35
acallar;acall;1,41;1,63;1,63;2,13;1,72
acampar;acamp;1,2;3,3;1,9;1,35;1,3
acantilado;acantil;1,85;1,85;2,85;1,35;1,3
acariciar;acarici;1,43;1,27;4,47;1,1;1,13
ácaro;acar;1,79;1;2;2,63;3,84
acarrear;acarr;2,05;1,2;1,7;2;1,2
acaso;acas;1,1;1,22;1,24;1,24;1,25
acatamiento;acat;1,63;1,39;2,11;2;2,05
acatar;acat;2,14;2,28;1,41;1,97;1,59
acceder;acced;1,3;3,05;1,42;1,35;1,05
accesibilidad;accesibil;1,5;3,05;1,2;1,4;1,4
accesible;acces;1,15;2,8;1;1,35;1,15
acceso;acces;1,35;2,85;1,3;1,05;1,2
accesorio;accesori;1,1;2,4;1,05;1,05;1,1
accidental;accidental;2,85;1,4;2,55;1,95;1,45
accidente;accident;4,17;3,83;1,03;3,13;1,8
acción;accion;1,57;2,27;2,8;1,73;1,4
accionar;accion;1,1;2,3;1,35;1,45;1,15
accionarial;accionarial;1,14;1,25;1,36;1,25;1,36
acciones;accion;1,65;2,6;1,6;1,65;1,15
accionista;accion;1,11;1,94;1,55;1,5;1,55
acebo;aceb;1,27;1,75;1,07;1,31;1,14
acechar;acech;2,2;1,65;2,58;2,21;1,68
acecho;acech;2,05;1,25;2,33;2,37;1,89
aceite;aceit;1,2;2,2;1,05;1,35;1,65
aceleración;aceler;1,4;3,15;1,8;1,65;1,15
acelerador;aceler;1,23;1,9;1,9;1,37;1,07
acelerar;aceler;1,35;2,75;2,42;1,85;1,35
acento;acent;1,27;1,27;2,67;1,47;1,27
acentuación;acentu;1,4;2,1;1,3;1,53;1,47
acentuar;acentu;1,1;1,85;1,65;1,3;1,3
acepción;acepcion;1,56;1,65;1,18;1,19;1,25
aceptable;acept;1,5;2,5;1;1,3;1
aceptación;acept;1,33;1,37;3,77;1,23;1,2
aceptar;acept;1,25;2,95;1,35;1,05;1,2
acepto;acept;1,25;2,7;1,45;1,25;1,1
