Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
abandonado;;4,3;3,33;1,03;2,83;1,77
abandono;;4,43;3,33;1,03;3,3;2,63
abanico;;1;1;2,67;1;1
abatir;;3,17;2,86;1,24;2,66;1,31
abeja;;1,47;3,53;1,47;1,97;2,07
abejas;;1,17;3,47;1,37;2;2,2
abejorro;;1,14;3,48;1,14;1,59;2,1
abierto;;1,1;1,57;2,8;1,27;1,03
abismo;;2,47;4,13;1,3;1,53;1,13
abnegación;;2;1,94;1,44;1,69;1,31
abogada;;1,37;2,03;1,57;1,93;1,5
abogado;;1,4;1,6;1,83;1,73;1,53
aborto;;3,5;2,9;1,67;1,87;1,7
abrasador;;1,53;2,17;1,37;1,77;1,5
abrazar;;2;1,63;4,73;1;1
abrazo;;2,23;1,77;4,8;1,1;1,13
abrigo;;1,53;1,07;2,5;1,03;1,13
abroncar;;2,71;2,95;1,05;3,71;1,67
abrumado;;2,67;2,5;1,5;2,27;1,27
abstinente;;1,89;1,7;1,48;1,67;1,48
absurdo;;1,83;1,57;1,63;2,17;1,23
abuela;;2,3;1,67;4,33;1,13;1,1
abuelo;;2,6;1,2;4,6;1,07;1,1
abundancia;;1,37;1,73;3,67;1,2;1,2
aburrido;;2,9;1,17;1,03;1,4;1,33
abuso;;4,2;4,07;1,17;4,37;4,03
acariciar;;1,43;1,27;4,47;1,1;1,13
acatar;;2,14;2,28;1,41;1,97;1,59
accidente;;4,17;3,83;1,03;3,13;1,8
acción;;1,57;2,27;2,8;1,73;1,4
acelerador;;1,23;1,9;1,9;1,37;1,07
acento;;1,27;1,27;2,67;1,47;1,27
aceptación;;1,33;1,37;3,77;1,23;1,2
acera;;1,17;1,33;1,37;1,17;1,33
acidez;;1,57;1,53;1,17;1,63;2,77
acierto;;1,03;1,17;4,07;1,1;1,03
aclamar;;1,35;1,55;3,58;1,58;1,32
acné;;2,23;1,8;1,17;2,47;3,5
acogedor;;1,2;1,13;4,07;1,1;1,1
acogedora;;1,26;1,23;4,33;1,13;1,16
acontecimiento;;1,57;1,63;2,5;1,37;1,2
acosar;;3,2;4,07;1,13;4,03;3,57
acoso;;3,7;3,93;1,13;3,9;4,07
acre;;1,25;1,17;1;1,25;1,42
activar;;1,13;1,4;2,53;1,33;1,1
acto;;1,17;1,43;2,03;1,27;1,13
actriz;;1,37;1,1;2,53;1,23;1,27
actuar;;1,43;2;3;1,6;1,37
acuarela;;1,9;1,17;2,93;1,17;1,2
acuático;;1,1;1,83;3,1;1,07;1,27
acuchillar;;3,43;4;1,13;3,9;3,4
acuerdo;;1;1,47;3,3;1,1;1,1
acurrucarse;;1,83;1,6;3,9;1,07;1,07
acusar;;3,13;3,13;1,19;3,52;2,55
ademán;;1,36;2;1,45;1,68;1,36
adicción;;3,23;3,57;1,1;2,5;2,9
adicto;;3,6;2,97;1,3;2,33;2,23
adinerado;;1,4;1,4;3;1,87;1,73
adiós;;4,17;3,67;1,33;2,33;1,43
admiración;;1,37;1,43;3,67;1,3;1,2
admirado;;1,3;1,57;3,77;1,23;1,27
admirar;;1,23;1,4;3,93;1,2;1,17
adolescente;;1,97;1,7;2,83;1,83;1,4
adopción;;1,77;1,77;3,53;1,17;1,03
adorable;;1,03;1,03;4,43;1,03;1,03
adoración;;1,5;1,6;2,97;1,6;1,43
adulterado;;2;2,68;1,11;2,75;2,89
adulterio;;3,4;2,6;1,23;3,47;2,97
adulto;;1,89;2,04;2,11;1,57;1,36
adversario;;1,77;2,63;2,03;2,5;1,9
advertir;;1,83;2,77;1,7;2,03;1,47
aeropuerto;;2,2;1,7;3,27;1,13;1,17
afamado;;1,55;1,55;2,5;1,4;1,65
afectar;;3;2,2;1,33;1,57;1,1
afecto;;1,5;1,43;4,37;1,2;1,03
afectuoso;;1,33;1,27;3,83;1,07;1,13
afianzar;;1,31;1,52;1,9;1,17;1,14
afición;;1,17;1,31;4,07;1,21;1,14
afligido;;4,1;2,55;1,1;1,97;1,48
afortunado;;1,13;1,07;4,1;1,33;1,07
agencia;;1,28;1,28;1,55;1,34;1,31
agente;;1,37;2,07;1,43;1,87;1,77
agilidad;;1,13;1,13;3,07;1,1;1,03
aglomeración;;1,43;2,47;1,77;2,47;2,1
agobiado;;2,57;2,3;1,07;2,77;1,57
agonizar;;4,1;4,17;1;3,03;1,72
agonía;;3,6;3,07;1,07;2,2;2,03
agradar;;1,13;1,3;4,43;1,07;1,1
agradecido;;1,1;1,07;4,3;1,03;1,03
agredir;;3,37;3,53;1;3,97;3,2
agresión;;3,48;3,93;1,1;4,31;3,41
agresividad;;3,43;3,87;1,3;4,4;3,2
agresivo;;2,87;3,4;1,23;3,9;2,23
agricultor;;1,5;1,3;2,17;1,2;1,2
aguanieve;;1,3;1,1;2,27;1,03;1
aguardiente;;1,37;1,5;2,17;1,27;2,43
agua;;1,37;1,87;3;1,17;1,27
agudo;;1,4;1,73;1,53;1,57;1,37
aguijón;;1,64;3,75;1,04;2,39;2,75
aguja;;1,37;2,17;1,13;1,5;1,6
ahogar;;3,6;4,37;1;3,2;1,97
ahogarse;;3,43;4,57;1,03;2,23;1,47
ahorcar;;3,66;3,97;1,03;3,83;3,03
ahorrar;;1,37;1,23;2,53;1,17;1,07
aire;;1,13;1,1;2,87;1,13;1,1
aislamiento;;3,77;4;1,1;2,37;1,83
ajedrez;;1,47;1,27;2,1;1,47;1,03
alabar;;1,3;1,43;3,43;1,33;1,47
alambrada;;2,2;2,03;1,2;1,93;1,53
alambre;;1,67;1,83;1,17;1,4;1,23
alarma;;1,86;3,23;1,45;2,34;1,48
alarmar;;1,77;3,77;1,37;1,9;1,23
alba;;1,53;1;3,13;1,07;1
albañil;;1,43;1,33;1,73;1,23;1,43
albergue;;1,53;1,73;2,9;1,37;1,87
alcaldesa;;1,43;1,23;1,43;2,13;1,93
alce;;1,18;2,21;2,39;1,11;1,14
alcohólico;;3,9;2,63;1,27;2,63;2,47
alegrar;;1,07;1,43;4,73;1,03;1
alegre;;1,1;1,23;4,83;1,1;1,03
alegría;;1;1,23;4,77;1;1,13
alentador;;1,4;1,73;3,73;1,27;1,23
alergia;;2;2;2,43;1,89;2,21
alerta;;1,5;3;1,4;1,57;1,33
alfiler;;1,6;2,53;1,5;1,53;1,3
alfombra;;1,3;1,13;1,6;1,2;2,03
alianza;;1,3;2;3,1;1,4;1,23
alicatar;;1,15;1,07;1,19;1,15;1,15
alicates;;1,17;1,83;1,31;1,45;1,21
aliento;;1,73;1,8;1,43;1,6;2,5
alimentar;;1,67;1,43;3,5;1,33;1,37
alivio;;1,23;1,37;3,7;1,07;1,03
alma;;1,97;1,9;2,7;1,57;1,27
almeja;;1,03;1,1;1,72;1;1,69
almohada;;1,2;1,03;3,03;1,03;1,07
alterado;;2,4;2,83;1,63;2,87;1,47
altercado;;2,25;2,93;1,07;2,79;1,64
alto;;1,2;1,6;2,2;1,13;1,23
aludir;;1,28;1,38;1,59;1,24;1,17
aluminio;;1,03;1,07;1,07;1,07;1
alumno;;1,47;1,57;2,67;1,4;1,37
amabilidad;;1,03;1,13;4,03;1,23;1,13
amable;;1,23;1,27;4,37;1,1;1,13
amado;;1,37;1,97;4,33;1,4;1,07
amanecer;;1,77;1,4;4,07;1,07;1,03
amante;;2;2,23;2,97;2,2;1,83
amar;;1,9;2,27;4,9;1,23;1,03
amargura;;4,43;2,57;1;2,7;2,83
amarillo;;1,07;1,17;2,07;1,2;1,13
ambición;;1,67;1,93;2,73;1,8;1,8
ambiente;;1,53;1,53;2,77;1,57;1,57
ambulancia;;3,07;3,03;1,07;1,43;1,23
amenaza;;2,33;3,77;1,03;2,73;1,7
amenazado;;2,97;4,37;1,03;3,6;2,43
amenazador;;2,4;4,27;1;3,7;2,6
amenazar;;3,07;4,1;1;4,13;2,67
ametralladora;;3,63;4,4;1,23;4,07;3,47
amiga;;1,9;1,53;4,1;1,33;1,2
amigable;;1,13;1,23;4,17;1,2;1,1
amigo;;1,53;1,57;4,53;1,2;1,13
amistad;;1,43;1,3;4,77;1,03;1,03
amistoso;;1,07;1,4;4,27;1,13;1,1
amor;;2,23;2,6;4,7;1,63;1,07
amordazar;;3,18;4,14;1,14;3,86;2,72
amplia;;1,17;1,34;2,07;1,21;1,03
ampliación;;1,4;1,57;2,4;1,37;1,3
amplitud;;1,57;2;2,57;1,33;1,47
ampolla;;1,87;1,67;1;1,97;3,4
amputación;;3,93;4,07;1,03;2,63;3,23
analista;;1,34;1,86;1,69;1,28;1,38
analogía;;1,14;1,14;1,41;1,1;1,03
análisis;;1,7;3,1;1,4;1,7;1,83
ancho;;1,23;1,33;1,4;1,4;1,37
anciano;;2,63;1,27;2,7;1,1;1,17
anclar;;1,48;1,34;1,55;1,17;1,14
anfitrión;;1,03;1,31;3,69;1,21;1,17
anguila;;1,21;2,62;1,24;1,21;2,83
angustia;;3,57;3,5;1;2,53;1,9
angustiado;;3,6;3,63;1,07;2,33;1,8
anhelo;;3,6;2,33;1,83;1,67;1,33
anillo;;1,27;1,3;2,7;1,07;1,2
animar;;1,4;1,1;4,27;1;1
aniquilar;;3,72;4,07;1,21;4,21;3,28
anorak;;1,57;1,07;2,13;1,3;1,23
anorexia;;4,23;3,43;1,03;2,4;2,23
anotar;;1,34;1,24;1,41;1,14;1,24
ansiedad;;3,57;3,77;1,2;2,87;2,03
ansioso;;2,47;2,8;1,33;2,23;1,43
antecedente;;1,77;1,9;1,73;1,6;1,43
antena;;1,1;1,2;1,47;1,17;1,1
anticuado;;1,93;1,52;1,69;1,48;1,48
anticuario;;1,76;1,14;1,66;1,03;1,17
antiguo;;2,61;1,87;2,55;1,29;1,68
antipático;;2,67;1,7;1,1;2,7;2,1
antorcha;;1,5;2,2;2,13;1,47;1,23
antropólogo;;1,13;1,2;1,9;1,13;1,13
añoranza;;4,03;2,8;1,43;1,87;1,5
apaciguado;;1,32;1,29;2,64;1,18;1
aparato;;1,27;1,5;1,57;1,33;1,27
apariencia;;1,97;1,7;1,53;1,53;2,23
apartamento;;1,43;1,47;2,97;1,23;1,37
apasionado;;1,23;1,6;4,17;1,4;1,1
apendicitis;;2,69;3,59;1,07;1,59;2,24
aperitivo;;1,1;1,03;3,8;1,07;1,27
apestoso;;1,47;1,67;1,03;1,63;4,67
apilar;;1,31;1,14;1,14;1,24;1,1
aplastado;;2,7;2,73;1,17;2,17;2,17
aplastar;;2,66;3,21;1,07;2,9;2,59
aplaudir;;1,13;1,2;4,2;1,13;1,13
aplauso;;1,2;1,33;4,03;1,23;1,17
aplausos;;1,13;1,3;4,07;1,33;1,03
apodar;;1,55;1,28;1,83;1,59;1,17
aprecio;;1,4;1,5;3,93;1,27;1,3
aprender;;1,47;1,8;3,93;1,23;1,17
aprobación;;1,43;2,17;4;1,27;1,27
aprobar;;1,07;1,73;4,77;1,1;1,07
aptitud;;1,03;1,13;3,47;1,1;1,1
apuros;;2,33;3,1;1,13;2,13;1,4
araña;;1,5;3,53;1,17;2,33;3,77
archivador;;1,23;1,13;1,43;1,27;1,13
arco;;1,37;1,97;1,43;1,4;1,07
arcoíris;;1,03;1;4,03;1;1,13
ardilla;;1,13;1,13;3,4;1;1,1
argumento;;1,5;1,8;2,37;1,57;1,3
arma;;3,2;3,7;1,2;3,33;2,27
armario;;1,33;1,47;1,83;1,3;1,2
armar;;2,53;2,93;1,97;2,83;1,9
armonía;;1,24;1,03;4,1;1;1
aroma;;1,7;1,3;3,3;1,33;1,73
arqueólogo;;1,07;1,2;2,17;1,13;1,07
