S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
abandonado;abandon;1,00;0,00;0,00;0,00;0,00;0,00
abejas;abej;0,00;0,50;0,17;0,00;0,00;0,33
aborto;abort;0,67;0,17;0,00;0,00;0,00;0,17
abrasador;abras;0,00;0,50;0,00;0,17;0,00;0,33
abrazo;abraz;0,00;0,00;1,00;0,00;0,00;0,00
abrumado;abrum;0,50;0,17;0,00;0,17;0,00;0,17
absurdo;absurd;0,00;0,00;0,00;0,67;0,17;0,17
abundancia;abund;0,00;0,00;0,67;0,00;0,00;0,33
aburrido;aburr;0,50;0,00;0,00;0,17;0,00;0,33
accidente;accident;0,50;0,50;0,00;0,00;0,00;0,00
acido;acid;0,00;0,33;0,00;0,00;0,00;0,67
acogedor;acogedor;0,00;0,00;1,00;0,00;0,00;0,00
acontecimiento;acontec;0,00;0,00;0,00;0,00;0,17;0,83
acre;acre;0,00;0,00;0,00;0,00;0,00;1,00
activar;activ;0,00;0,00;0,00;0,00;0,17;0,83
acuerdo;acuerd;0,00;0,00;0,67;0,00;0,00;0,33
acurrucarse;acurruc;0,00;0,00;0,67;0,00;0,00;0,33
adicto;adict;0,67;0,00;0,00;0,00;0,00;0,33
adinerado;adiner;0,00;0,00;0,33;0,00;0,00;0,67
admirado;admir;0,00;0,00;1,00;0,00;0,00;0,00
adorable;ador;0,00;0,00;0,83;0,00;0,00;0,17
adulto;adult;0,00;0,00;0,00;0,00;0,00;1,00
afectar;afect;0,33;0,17;0,00;0,17;0,00;0,33
afecto;afect;0,00;0,00;1,00;0,00;0,00;0,00
afianzar;afianz;0,00;0,00;0,50;0,00;0,00;0,50
afligido;aflig;1,00;0,00;0,00;0,00;0,00;0,00
afortunado;afortun;0,00;0,00;1,00;0,00;0,00;0,00
agilidad;agil;0,00;0,00;0,33;0,00;0,00;0,67
agobiado;agobi;0,67;0,00;0,00;0,17;0,00;0,17
agonia;agon;1,00;0,00;0,00;0,00;0,00;0,00
agradecido;agradec;0,00;0,00;1,00;0,00;0,00;0,00
agresion;agresion;0,00;0,33;0,00;0,67;0,00;0,00
agresivo;agres;0,00;0,50;0,00;0,50;0,00;0,00
agua;agu;0,00;0,00;0,17;0,00;0,00;0,83
aguanieve;aguaniev;0,00;0,00;0,17;0,00;0,00;0,83
aguja;aguj;0,00;0,50;0,00;0,00;0,00;0,50
ahogarse;ahog;0,17;0,83;0,00;0,00;0,00;0,00
ahorrar;ahorr;0,00;0,00;0,17;0,00;0,00;0,83
aire;air;0,00;0,00;0,00;0,00;0,00;1,00
alba;alba;0,00;0,00;0,17;0,00;0,00;0,83
alcoholico;alcohol;0,83;0,00;0,00;0,00;0,00;0,17
alegre;alegr;0,00;0,00;1,00;0,00;0,00;0,00
alergia;alergi;0,17;0,00;0,33;0,33;0,00;0,17
alerta;alert;0,00;0,33;0,00;0,00;0,67;0,00
almohada;almoh;0,00;0,00;0,17;0,00;0,00;0,83
amabilidad;amabil;0,00;0,00;1,00;0,00;0,00;0,00
amable;amabl;0,00;0,00;1,00;0,00;0,00;0,00
amado;amad;0,00;0,00;1,00;0,00;0,00;0,00
amanecer;amanec;0,00;0,00;0,50;0,00;0,00;0,50
amarillo;amarill;0,00;0,00;0,00;0,00;0,00;1,00
ambicion;ambicion;0,00;0,00;0,00;0,33;0,00;0,67
ambulancia;ambul;0,17;0,50;0,00;0,00;0,17;0,17
amenaza;amenaz;0,00;0,83;0,00;0,17;0,00;0,00
amigable;amig;0,00;0,00;1,00;0,00;0,00;0,00
amigo;amig;0,00;0,00;1,00;0,00;0,00;0,00
amor;amor;0,00;0,00;1,00;0,00;0,00;0,00
ampolla;ampoll;0,17;0,33;0,00;0,00;0,00;0,50
angel;angel;0,00;0,00;0,50;0,00;0,00;0,50
angustiado;angusti;0,33;0,67;0,00;0,00;0,00;0,00
anhelo;anhel;1,00;0,00;0,00;0,00;0,00;0,00
animo;anim;0,00;0,00;0,17;0,00;0,00;0,83
ansioso;ansios;0,17;0,00;0,17;0,17;0,00;0,50
aplastado;aplast;0,33;0,17;0,00;0,00;0,33;0,17
aplausos;aplaus;0,00;0,00;1,00;0,00;0,00;0,00
aprender;aprend;0,00;0,00;0,33;0,17;0,00;0,50
aprobacion;aprob;0,00;0,00;0,83;0,00;0,00;0,17
apuros;apur;0,17;0,83;0,00;0,00;0,00;0,00
aranya;arany;0,00;0,67;0,00;0,00;0,00;0,33
arbol;arbol;0,00;0,00;0,17;0,00;0,00;0,83
arco-iris;arco-iris;0,00;0,00;0,67;0,00;0,17;0,17
arma;arma;0,00;1,00;0,00;0,00;0,00;0,00
armario;armari;0,00;0,00;0,00;0,00;0,00;1,00
arrepentido;arrepent;1,00;0,00;0,00;0,00;0,00;0,00
arrogante;arrog;0,00;0,00;0,00;1,00;0,00;0,00
arte;arte;0,00;0,00;0,33;0,00;0,17;0,50
as;as;0,00;0,00;0,33;0,00;0,00;0,67
ascensor;ascensor;0,00;0,00;0,00;0,00;0,00;1,00
asediado;asedi;0,17;0,83;0,00;0,00;0,00;0,00
asesinar;asesin;0,17;0,83;0,00;0,00;0,00;0,00
asesino;asesin;0,00;1,00;0,00;0,00;0,00;0,00
asfixiarse;asfixi;0,00;1,00;0,00;0,00;0,00;0,00
asiento;asient;0,00;0,00;0,00;0,00;0,00;1,00
asombrado;asombr;0,00;0,00;0,00;0,00;1,00;0,00
aspero;asper;0,17;0,00;0,00;0,00;0,00;0,83
asqueado;asqu;0,17;0,00;0,00;0,67;0,17;0,00
asqueroso;asquer;0,00;0,00;0,00;0,67;0,17;0,17
astronauta;astronaut;0,00;0,00;0,00;0,00;0,00;1,00
asustado;asust;0,00;1,00;0,00;0,00;0,00;0,00
ataud;ataud;0,17;0,83;0,00;0,00;0,00;0,00
aterrorizado;aterroriz;0,00;1,00;0,00;0,00;0,00;0,00
atico;atic;0,00;0,00;0,00;0,00;0,00;1,00
atracador;atrac;0,00;0,83;0,00;0,00;0,17;0,00
atrevido;atrev;0,00;0,00;0,00;0,00;0,83;0,17
atrocidad;atroc;0,33;0,33;0,00;0,17;0,17;0,00
aurora;auror;0,00;0,00;0,50;0,00;0,00;0,50
autobus;autobus;0,00;0,00;0,00;0,00;0,00;1,00
avalancha;avalanch;0,00;0,83;0,00;0,00;0,17;0,00
avaricia;avarici;0,50;0,00;0,00;0,33;0,00;0,17
avenida;aven;0,00;0,00;0,00;0,00;0,00;1,00
aventura;aventur;0,00;0,00;0,33;0,00;0,50;0,17
avergonzado;avergonz;1,00;0,00;0,00;0,00;0,00;0,00
avion;avion;0,00;0,00;0,00;0,00;0,00;1,00
avispa;avisp;0,00;0,67;0,00;0,00;0,00;0,33
azucar;azuc;0,00;0,00;0,17;0,00;0,00;0,83
azul;azul;0,17;0,00;0,00;0,00;0,00;0,83
bailarin;bailarin;0,00;0,00;0,50;0,00;0,00;0,50
bala;bal;0,00;1,00;0,00;0,00;0,00;0,00
bancarrota;bancarrot;0,67;0,17;0,00;0,17;0,00;0,00
banco;banc;0,00;0,00;0,00;0,00;0,00;1,00
bandera;bander;0,00;0,00;0,00;0,00;0,00;1,00
banyera;banyer;0,00;0,00;0,17;0,00;0,00;0,83
banyo;bany;0,00;0,00;0,00;0,00;0,00;1,00
bar;bar;0,00;0,00;0,50;0,00;0,00;0,50
barco;barc;0,00;0,00;0,17;0,00;0,00;0,83
barril;barril;0,00;0,00;0,00;0,00;0,00;1,00
bastardo;bastard;0,17;0,00;0,00;0,83;0,00;0,00
basto;bast;0,00;0,00;0,00;0,50;0,17;0,33
baston;baston;0,00;0,00;0,00;0,00;0,00;1,00
basura;basur;0,50;0,00;0,00;0,17;0,00;0,33
bebe;beb;0,00;0,00;0,83;0,00;0,00;0,17
bebida;beb;0,00;0,00;0,17;0,00;0,00;0,83
belleza;bellez;0,00;0,00;0,83;0,00;0,00;0,17
bendecir;bendec;0,00;0,00;0,67;0,00;0,00;0,33
beso;bes;0,00;0,00;1,00;0,00;0,00;0,00
bestia;besti;0,00;1,00;0,00;0,00;0,00;0,00
blanco;blanc;0,00;0,00;0,00;0,00;0,00;1,00
blasfemia;blasfemi;0,00;0,00;0,00;1,00;0,00;0,00
boda;bod;0,00;0,00;1,00;0,00;0,00;0,00
bodega;bodeg;0,00;0,00;0,17;0,00;0,00;0,83
bofetada;bofet;0,00;0,33;0,00;0,67;0,00;0,00
bomba;bomb;0,00;1,00;0,00;0,00;0,00;0,00
bombilla;bombill;0,00;0,00;0,17;0,00;0,00;0,83
botella;botell;0,00;0,00;0,00;0,00;0,00;1,00
boxeador;boxeador;0,00;0,67;0,00;0,00;0,00;0,33
brazo;braz;0,00;0,00;0,00;0,00;0,00;1,00
brillante;brillant;0,00;0,00;0,83;0,00;0,00;0,17
brio;bri;0,00;0,00;0,50;0,00;0,00;0,50
brisa;bris;0,00;0,00;0,50;0,00;0,00;0,50
brutal;brutal;0,00;0,67;0,00;0,00;0,17;0,17
buceador;buceador;0,00;0,00;0,00;0,00;0,00;1,00
bueno;buen;0,00;0,00;1,00;0,00;0,00;0,00
buho;buh;0,00;0,00;0,17;0,00;0,00;0,83
bulto;bult;0,00;0,00;0,00;0,00;0,00;1,00
burla;burl;0,17;0,00;0,00;0,83;0,00;0,00
caballo;caball;0,00;0,00;0,17;0,00;0,00;0,83
cable;cabl;0,00;0,00;0,00;0,00;0,00;1,00
cachorro;cachorr;0,00;0,00;0,67;0,00;0,00;0,33
cadaver;cadav;0,33;0,67;0,00;0,00;0,00;0,00
caida;caid;0,33;0,33;0,00;0,00;0,33;0,00
calidad;calid;0,00;0,00;0,83;0,00;0,00;0,17
callado;call;0,33;0,00;0,00;0,00;0,00;0,67
calle;call;0,00;0,00;0,00;0,00;0,00;1,00
callejon;callejon;0,00;0,50;0,00;0,00;0,00;0,50
calmar;calm;0,17;0,00;0,17;0,00;0,00;0,67
calor;calor;0,00;0,00;0,00;0,17;0,00;0,83
cama;cam;0,00;0,00;0,50;0,00;0,00;0,50
camion;camion;0,00;0,00;0,00;0,00;0,00;1,00
campeon;campeon;0,00;0,00;1,00;0,00;0,00;0,00
campo;camp;0,00;0,00;0,17;0,00;0,00;0,83
cancer;canc;0,50;0,50;0,00;0,00;0,00;0,00
cancion;cancion;0,00;0,00;0,67;0,00;0,00;0,33
cansado;cans;0,67;0,00;0,00;0,00;0,00;0,33
canyon;canyon;0,00;0,67;0,00;0,00;0,00;0,33
caos;caos;0,33;0,33;0,00;0,33;0,00;0,00
capaz;capaz;0,00;0,00;0,67;0,00;0,00;0,33
capricho;caprich;0,00;0,00;0,17;0,33;0,00;0,50
cara;car;0,00;0,00;0,00;0,00;0,00;1,00
