Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra;genero;numero
ábaco;abac;1,2;1,2;1,45;1,29;1;NOUN;M;S
abad;abad;1,35;1,56;1,71;1,24;2,23;NOUN;M;S
abadesa;abades;1,64;1,4;1,36;1,69;1,33;VERB;X;S
abadía;abad;1,43;1,22;2,33;1,21;1,21;PROPN;X;X
abajo;abaj;1,55;1,3;1,35;1,4;1,25;ADV;X;X
abalanzar;abalanz;1,6;2;1,56;1,9;1,7;VERB;X;X
abanderado;abander;1,47;1,56;1,94;1,32;1,25;ADJ;M;S
abandonado;abandon;4,3;3,33;1,03;2,83;1,77;ADJ;M;S
abandonar;abandon;4,1;3,05;1,2;3,3;2,65;VERB;X;X
abandono;abandon;4,43;3,33;1,03;3,3;2,63;NOUN;M;S
abanico;aban;1;1;2,67;1;1;NOUN;M;S
abarca;abarc;1,05;1,11;1,89;1,32;1,05;PROPN;X;X
abarcar;abarc;1,55;1,4;1,65;1,2;1,1;VERB;X;X
abarque;abarqu;1,24;1,06;1,59;1,13;1,2;NOUN;M;S
abastecer;abastec;1,32;1,1;2,75;1,21;1,05;VERB;X;X
abastecimiento;abastec;1,65;1,35;2,55;1,25;1,3;NOUN;M;S
abasto;abast;1,42;1,5;1,56;1,38;1,38;ADJ;M;S
abatimiento;abat;3,47;2,58;1,2;2,21;2,22;NOUN;M;S
abatir;abat;3,17;2,86;1,24;2,66;1,31;VERB;X;X
abdicación;abdic;2,11;1,4;1,5;1,8;1,61;NOUN;F;S
abdicar;abdic;1,85;1,5;2,74;1,7;1,6;VERB;X;X
abdomen;abdom;1,25;1,3;1,65;1,15;1,5;VERB;X;P
abdominal;abdominal;1,05;1,1;2,05;1,7;1,25;ADJ;X;S
abedul;abedul;1;1;2,07;1,07;1,08;PROPN;X;X
abeja;abej;1,47;3,53;1,47;1,97;2,07;VERB;X;S
abejas;abej;1,17;3,47;1,37;2;2,2;NOUN;F;P
abejorro;abejorr;1,14;3,48;1,14;1,59;2,1;PROPN;X;X
aberración;aberr;3,82;2,95;1,1;3,2;3,68;NOUN;F;S
abertura;abertur;1,1;1,3;2,5;1,25;1,25;NOUN;F;S
abeto;abet;1;1;2,3;1;1,05;NOUN;M;S
abierta;abiert;1,35;1,3;2,7;1,35;1,25;ADJ;F;S
abierto;abiert;1,1;1,57;2,8;1,27;1,03;ADJ;M;S
abismo;abism;2,47;4,13;1,3;1,53;1,13;NOUN;M;S
abnegación;abneg;2;1,94;1,44;1,69;1,31;NOUN;F;S
abogacía;abogac;1,5;1,55;1,74;1,79;1,65;VERB;X;S
abogada;abog;1,37;2,03;1,57;1,93;1,5;NOUN;F;S
abogado;abog;1,4;1,6;1,83;1,73;1,53;NOUN;M;S
abogar;abog;1,47;1,32;1,84;1,74;1,41;VERB;X;X
abolición;abolicion;1,9;2,55;1,68;2,15;1,6;NOUN;F;S
abolir;abol;1,75;1,74;2,53;2,11;1,35;VERB;X;X
abolladura;abolladur;2,15;2,21;1,05;2,35;1,72;NOUN;F;S
abominable;abomin;2,75;2,44;1,22;2,47;2,5;ADJ;X;S
abonar;abon;1,75;1,25;2,45;1,8;1,55;VERB;X;X
abono;abon;1,05;1,2;2,25;1,15;2,15;NOUN;M;S
abordaje;abordaj;1,5;1,74;1,53;1,85;1,11;NOUN;M;S
abordar;abord;1,4;1,2;1,6;1,6;1,35;VERB;X;X
abordo;abord;1,4;1,55;1,63;1,32;1,35;PROPN;X;X
aborigen;aborig;1,39;1,39;1,61;1,15;1,41;ADJ;X;S
abortar;abort;2,35;3,35;1,4;1,8;2;VERB;X;X
aborto;abort;3,5;2,9;1,67;1,87;1,7;NOUN;M;S
abra;abra;1,17;1,08;1,56;1,14;1,06;VERB;X;S
abrasador;abras;1,53;2,17;1,37;1,77;1,5;NOUN;M;S
abrazar;abraz;2;1,63;4,73;1;1;VERB;X;X
abrazo;abraz;2,23;1,77;4,8;1,1;1,13;NOUN;M;S
abrebotellas;abrebotell;1;1,2;2;1,15;1,15;NOUN;F;P
abrelatas;abrelat;1,05;1,2;1,26;1,4;1,35;NOUN;F;P
abreviación;abrevi;1,3;1,2;2,15;1,45;1;NOUN;F;S
abreviar;abrevi;1,15;1,3;2,5;1,2;1,25;VERB;X;X
abreviatura;abreviatur;1,35;1,1;2,15;1,25;1,4;VERB;X;S
